0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.06345545,0.0030577797,0.004941178,-0.2974492,0.027012888,-0.21728423,0.12462279,-0.014970249,-0.11740136,-0.013760699,0.004704996,0.10212425,-0.09633722,0.20868796,-0.18226452,0.016690254,-0.03209708,0.10423927,0.05260554,0.20282188,0.14802589,-0.030240303,0.29377598,0.009846333,0.039454177,0.16456464,-0.010210082,-0.043103557,0.15364285,-0.19681959,0.18268973,2.6754766
-0.06677736,-0.20455709,0.14280084,-0.322721,-0.014540181,-0.14672072,0.010024192,0.28223518,-0.15200458,-0.11567165,-0.23239434,0.39081672,-0.11677775,0.36898738,-0.097527295,-0.10118326,0.0027301721,-0.13208388,0.04818587,0.23729342,0.23285785,-0.0034008827,0.06706239,0.4363783,-0.04620549,0.13505927,-0.38859177,0.16589876,0.08871828,-0.3911752,0.23571831,1.2910154
-0.057285693,-0.04497295,0.08172007,-0.4392585,0.19707921,-0.3114915,0.13072136,0.30502322,-0.25315443,-0.009202721,-0.06427191,0.48619914,-0.27738592,0.36755097,-0.13502224,-0.13906687,-0.247245,-0.07586206,-0.13809752,0.31810737,0.3325363,0.037450485,0.25740492,0.4391778,0.014176831,0.11160684,-1.0448258,0.12732147,0.1505806,-0.35669315,0.28016615,1.6684859
-0.053531114,-0.1344459,0.06828832,-0.24141553,0.117641136,-0.19423078,0.122675374,0.35911462,-0.18310244,-0.10064484,-0.030571967,0.30659246,-0.07894001,0.24157126,-0.10870212,-0.06620242,-0.13099265,-0.048967354,0.0019269474,0.19672441,0.12883422,-0.004641246,-0.3331192,0.56312656,-0.060430244,0.06764525,-1.2128742,0.11326109,0.03894848,-0.08822391,0.22047222,1.3582232
-0.019565035,-0.25284472,0.21478006,-0.26938906,-0.04065251,-0.22013561,0.04450889,0.41022444,-0.2846348,-0.07659413,-0.08915055,0.51357806,-0.087186985,0.36062434,-0.111657396,-0.15103869,-0.055553682,-0.21668355,-0.0063270126,0.12754022,0.22180666,0.02794074,-0.509606,0.8657457,-0.13342422,0.12534264,-1.7040656,0.21774054,-0.0942208,-0.22706747,0.21527404,1.2439705
0.05708093,-0.20355538,0.1572689,-0.2598818,-0.18249345,-0.12714535,0.06817658,0.38458592,-0.15051712,-0.09902531,-0.12839134,0.41968668,-0.04653433,0.27610657,-0.1290195,-0.07138825,-0.031178007,-0.11354225,0.03758768,0.15942037,0.2557501,0.07944065,-0.20708491,0.74672085,-0.020651102,0.10066934,-0.95631015,0.1369749,-0.06945498,-0.3206693,0.27047017,0.44822392
-0.028993148,-0.00703281,0.018242443,-0.34547633,0.1638313,-0.22585475,0.05985578,0.13917968,-0.19401017,-0.002399696,-0.051696114,0.35535294,-0.18892393,0.27299443,-0.06818396,-0.06944625,-0.19771026,-0.06240408,-0.1179219,0.21678981,0.27630204,-0.0055411095,0.36200136,0.18444186,0.06348978,0.09574322,-1.0118455,0.0387048,0.10764398,-0.33591533,0.14851478,0.8555838
0.009617869,-0.061092496,-0.060760494,0.09576643,0.08347021,0.2115471,-0.23397262,-0.012099246,-0.056717947,-0.22871964,-0.074757844,-0.021238528,0.04757975,0.1478012,0.052035045,-0.03427153,0.06973754,0.122417256,0.2194871,0.02977062,0.0144084655,-0.040957816,-0.14429013,0.042889412,-0.039390117,-0.044792593,-0.49939707,-0.07969016,-0.105272785,0.024723426,-0.029922567,-1.8203461
-0.10759178,-0.036894813,-0.19819805,0.10279884,-0.29410234,0.44003242,-0.29223242,0.13055596,0.07724796,-0.28510568,-0.28461602,0.055942856,0.17862658,0.112757474,0.13364561,-0.061713353,0.12553251,0.15099655,0.28613624,0.05203427,0.17829728,0.21664181,-0.10004677,0.26851958,-0.0538875,-0.08652646,-0.18167886,-0.026675891,-0.22476615,-0.015146866,0.11494187,-1.6099857
-0.105633944,-0.05599411,-0.13786954,0.16325238,0.057993095,0.31617135,-0.30599624,0.07041029,-0.016272634,-0.29516223,-0.17457138,-0.05961077,0.099479124,0.11693904,0.14380062,-0.02027997,0.10372206,0.13425606,0.27144662,0.046679012,-0.024883669,0.03223078,-0.39467221,0.112734064,-0.06140375,-0.05665788,-0.31881008,0.0308857,-0.13194813,0.19461386,-0.032470375,-1.7967324
-0.024212163,-8.581765e-05,-0.076544315,0.11544321,-0.12703054,0.25468522,-0.27493313,0.019736236,-0.067340404,-0.18797259,-0.21217158,0.068141,0.036346644,0.15063298,0.11011039,-0.057375185,0.1527247,0.06746508,0.2694898,-0.00071795285,0.079020545,0.033843204,-0.05574815,0.096862644,-0.039991796,-0.06925207,-0.59604657,0.032389764,-0.11179538,-0.025956228,0.069827996,-1.618922
-0.046831544,-0.05008266,-0.10953265,0.14913794,-0.061145496,0.3738327,-0.21947314,0.11724181,0.1257909,-0.17846002,-0.15174207,-0.010453217,0.089217775,0.15358531,0.12581852,-0.08404718,0.10458326,0.1798606,0.23151764,0.019070417,0.048488475,0.009441132,-0.018589213,0.029932957,-0.09971662,-0.08753724,-0.084825486,-0.12017736,-0.086380705,0.0036935955,-1.7978251e-05,-2.2483711
-0.051351663,-0.044481203,-0.11843104,0.12947124,-0.03267515,0.29934525,-0.2631321,0.12748253,0.033333983,-0.23339288,-0.13048851,0.003413029,0.072867826,0.1220043,0.11125122,-0.060460165,0.11462432,0.13009578,0.25071836,0.043803137,0.011893893,0.053595163,-0.25304133,0.15868737,-0.066550195,-0.054604135,-0.35405627,0.01148117,-0.14818372,0.065144956,0.027373675,-1.8551916
-0.07224953,-0.0194769,-0.23811053,0.068614505,-0.020560954,0.28316876,-0.35957763,-0.1524643,-0.12725368,-0.24167536,-0.09031883,-0.12607688,0.049368665,0.06439161,0.17861824,0.010128759,0.06480173,0.04459793,0.23280314,-0.011156231,-0.06537752,0.04995344,-0.16235943,-0.10734211,0.0060348585,-0.0016746931,-0.49153388,-0.0036137812,-0.21694602,0.109868556,-0.19630727,-1.4636918
0.06835376,-0.021687826,-0.11741658,-0.018215619,-0.014611442,0.23145273,-0.281336,-0.16759712,0.025139544,-0.1466577,-0.17948915,0.044223316,-0.0005283123,0.26037592,0.098516405,-0.016647022,0.12263492,0.14603552,0.20643952,0.013594359,0.09858456,-0.069712274,0.49890983,-0.2434556,0.04844506,-0.0044465065,-0.04197529,-0.1924008,-0.03829701,-0.2955172,-0.025319412,-1.9156544
0.23006472,-0.001461776,-0.02023329,-0.34550577,-0.2622309,0.047067795,-0.034622066,-0.1474929,0.04112332,-0.051467635,-0.12506375,0.37931532,-0.12925608,0.2991799,-0.09662183,-0.16799407,0.09410485,0.23683456,0.07778972,0.04235058,0.46789163,0.060719386,1.1856102,-0.043361124,0.08369269,-0.04299421,-0.51247096,-0.39931485,-0.04158775,-0.8631842,0.26862973,-1.0237406
